Foton 254,0.0 დიზელი,1 კმ,ავტომატიკა,მარცხენა
Volvo FH 12,0.0 დიზელი,923500 კმ,მექანიკა,მარცხენა
Nissan Atlas პაგრუშიკი,2.5 დიზელი,1 კმ,ავტომატიკა,მარცხენა
Mercedes-Benz Atego,4.2 დიზელი,209000 კმ,მექანიკა,მარცხენა
Toyota Coaster,0.5 ელექტრო,100 კმ,ავტომატიკა,მარცხენა
Caterpillar ,3.3 დიზელი,0 კმ,მექანიკა,მარცხენა
JCB 3CX,1.8 დიზელი,8199 კმ,მექანიკა,მარცხენა
Caterpillar M 318,4.3 დიზელი,592000 კმ,მექანიკა,მარცხენა
Mercedes-Benz Atego,4.0 დიზელი,111 კმ,ტიპტრონიკი,მარცხენა
Caterpillar 305,2.4 დიზელი,8000 კმ,ავტომატიკა,მარცხენა
Mitsubishi Minicub,0.7 ბენზინი,137000 კმ,მექანიკა,მარცხენა
Van Hool Astromega Vogelzang,0.0 დიზელი,0 კმ,ვარიატორი,მარცხენა
Mercedes-Benz Vito,2.2 დიზელი,321000 კმ,ტიპტრონიკი,მარცხენა
Nissan Vanette Truck,1.8 ბენზინი,530000 კმ,მექანიკა,მარჯვენა
Mercedes-Benz 210,0.1 ელექტრო,100 კმ,მექანიკა,მარცხენა
Foton 254,0.0 დიზელი,1 კმ,ავტომატიკა,მარცხენა
Volvo FH 12,0.0 დიზელი,923500 კმ,მექანიკა,მარცხენა
Nissan Atlas პაგრუშიკი,2.5 დიზელი,1 კმ,ავტომატიკა,მარცხენა
Mercedes-Benz Atego,4.2 დიზელი,209000 კმ,მექანიკა,მარცხენა
Toyota Coaster,0.5 ელექტრო,100 კმ,ავტომატიკა,მარცხენა
Caterpillar ,3.3 დიზელი,0 კმ,მექანიკა,მარცხენა
JCB 3CX,1.8 დიზელი,8199 კმ,მექანიკა,მარცხენა
Caterpillar M 318,4.3 დიზელი,592000 კმ,მექანიკა,მარცხენა
Mercedes-Benz Atego,4.0 დიზელი,111 კმ,ტიპტრონიკი,მარცხენა
Caterpillar 305,2.4 დიზელი,8000 კმ,ავტომატიკა,მარცხენა
Mitsubishi Minicub,0.7 ბენზინი,137000 კმ,მექანიკა,მარცხენა
Van Hool Astromega Vogelzang,0.0 დიზელი,0 კმ,ვარიატორი,მარცხენა
Mercedes-Benz Vito,2.2 დიზელი,321000 კმ,ტიპტრონიკი,მარცხენა
